"発電所コード","エリア","発電所名","ユニット名","発電方式・燃種","対象日","00:30[kWh]","01:00[kWh]","01:30[kWh]","02:00[kWh]","02:30[kWh]","03:00[kWh]","03:30[kWh]","04:00[kWh]","04:30[kWh]","05:00[kWh]","05:30[kWh]","06:00[kWh]","06:30[kWh]","07:00[kWh]","07:30[kWh]","08:00[kWh]","08:30[kWh]","09:00[kWh]","09:30[kWh]","10:00[kWh]","10:30[kWh]","11:00[kWh]","11:30[kWh]","12:00[kWh]","12:30[kWh]","13:00[kWh]","13:30[kWh]","14:00[kWh]","14:30[kWh]","15:00[kWh]","15:30[kWh]","16:00[kWh]","16:30[kWh]","17:00[kWh]","17:30[kWh]","18:00[kWh]","18:30[kWh]","19:00[kWh]","19:30[kWh]","20:00[kWh]","20:30[kWh]","21:00[kWh]","21:30[kWh]","22:00[kWh]","22:30[kWh]","23:00[kWh]","23:30[kWh]","24:00[kWh]","日量[kWh]","更新日時"
"4009774203","中国","麻里布 第２発電所","Ｇ６","その他","2025/01/07","47000","47000","46000","46000","47000","48000","48000","47000","48000","47000","48000","49000","50000","47000","46000","46000","46000","46000","46000","45000","45000","47000","46000","46000","46000","46000","46000","46000","46000","46000","47000","46000","47000","47000","47000","47000","47000","47000","47000","48000","48000","48000","48000","47000","47000","47000","47000","47000","2249000","2025/01/08 15:30:02"
"40099930AA","九州","大分 第２発電所","単独","その他","2025/01/07","11000","10000","10000","11000","10000","11000","11000","10000","11000","10000","10000","10000","11000","10000","11000","10000","11000","10000","10000","11000","10000","11000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","11000","10000","11000","10000","11000","10000","11000","10000","11000","10000","11000","496000","2025/01/08 15:30:02"
"2S319","東北","福島いわきバイオマス発電所","1","その他","2025/01/08","51600","51600","51200","51600","51600","51600","51200","51600","51600","51600","51200","51200","51200","50800","51200","50800","50800","50800","51200","50800","50800","51200","51200","50800","51200","51600","51200","50800","51600","51200","51600","51200","51600","51600","51600","51200","51600","51600","51200","51600","51200","51600","51200","51600","51200","51600","51600","51200","2462800","2025/01/09 15:31:03"
"4009330482","東京","鹿島発電所","単独","その他","2025/01/08","37000","38000","37000","38000","37000","38000","37000","38000","37000","38000","38000","37000","37000","37000","38000","37000","37000","38000","37000","38000","37000","38000","38000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","38000","37000","38000","37000","38000","1790000","2025/01/09 15:31:03"
"42136","中部","四日市霞発電所","単独","その他","2025/01/08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/01/09 15:31:03"
"6837V","関西","相生バイオマス発電所","単独","その他","2025/01/08","66295","66463","65686","64873","64351","64296","65894","66191","66616","66551","65802","65416","66606","66559","66471","66454","66701","66597","65334","64232","64921","65155","65172","66439","66833","66424","64714","64553","66927","66960","65972","65692","65837","66045","65405","64311","63943","64179","65394","65281","65214","65119","64330","63871","63592","64053","64326","65144","3143194","2025/01/09 15:31:03"
"400977C645","中国","水島製油所　B工場","G8","その他","2025/01/08","9540","9486","9656","9896","10447","9922","9200","9247","9443","9699","9256","9052","9058","9180","9370","9332","9164","8973","9205","7501","6825","6054","5778","6799","7593","7989","7692","7618","8820","9143","9172","8572","7763","7133","7258","6728","6725","8649","9418","9021","9167","8143","7722","8033","7974","8291","8489","8741","407937","2025/01/09 15:31:03"
"4009774203","中国","麻里布 第２発電所","Ｇ６","その他","2025/01/08","46000","46000","47000","47000","47000","48000","48000","46000","48000","47000","46000","46000","47000","46000","46000","49000","48000","46000","47000","46000","47000","46000","47000","47000","47000","48000","47000","47000","47000","49000","48000","47000","48000","46000","47000","46000","47000","46000","47000","47000","46000","47000","47000","46000","46000","47000","46000","46000","2249000","2025/01/09 15:31:03"
"40099930AA","九州","大分 第２発電所","単独","その他","2025/01/08","10000","11000","10000","11000","11000","10000","11000","10000","11000","10000","10000","10000","11000","10000","11000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","11000","10000","11000","11000","10000","11000","10000","11000","10000","11000","10000","11000","10000","11000","10000","10000","10000","10000","11000","11000","10000","497000","2025/01/09 15:31:03"
"2S319","東北","福島いわきバイオマス発電所","1","その他","2025/01/09","51600","51600","51600","51200","51600","51600","51600","51200","51600","51600","51600","51200","51600","51600","51600","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51600","51600","51200","51200","51600","51200","51200","51200","51200","51200","51200","51600","51200","2464000","2025/01/10 15:30:06"
"4009330482","東京","鹿島発電所","単独","その他","2025/01/09","37000","37000","37000","37000","37000","38000","37000","38000","37000","38000","37000","38000","37000","37000","37000","38000","37000","38000","37000","38000","38000","38000","38000","38000","37000","38000","37000","38000","37000","38000","38000","37000","37000","38000","37000","38000","37000","38000","37000","38000","38000","38000","38000","38000","38000","38000","38000","39000","1804000","2025/01/10 15:30:06"
"42136","中部","四日市霞発電所","単独","その他","2025/01/09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/01/10 15:30:06"
"6837V","関西","相生バイオマス発電所","単独","その他","2025/01/09","64896","64929","64224","63794","63875","64013","64881","65249","64998","64802","64196","63993","64928","65222","65179","64998","64862","64827","63821","63580","63453","63352","64693","65404","65345","65074","63311","63324","65182","65679","65612","65213","65054","65316","64579","64072","63314","63269","64726","65226","64474","64022","63739","63518","63375","63326","63735","63825","3092479","2025/01/10 15:30:06"
"400977C645","中国","水島製油所　B工場","G8","その他","2025/01/09","8884","7796","7277","8415","8688","9203","9494","9078","8704","9265","9259","8705","8261","8066","8023","7699","8049","7388","7097","7387","7426","6858","7338","8035","8849","8916","8549","8702","7873","8272","8446","8536","8949","8796","9045","9394","9210","8702","8731","8223","7524","7766","8251","8526","8521","9117","8665","8225","402183","2025/01/10 15:30:06"
"4009774203","中国","麻里布 第２発電所","Ｇ６","その他","2025/01/09","47000","46000","47000","46000","46000","46000","47000","49000","48000","48000","48000","49000","48000","48000","48000","47000","47000","47000","46000","46000","46000","46000","46000","46000","47000","47000","47000","46000","47000","48000","47000","47000","48000","47000","48000","48000","49000","48000","48000","48000","47000","48000","48000","47000","47000","46000","47000","46000","2264000","2025/01/10 15:30:06"
